<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>見道士恠松圖有感</title>,<text>恠哉巖上彼奇松。多意何人誇此圖。初因失所質仍變。臃腫其狀兼枯孤。世共棄之分所甘。孰謂反入丹靑摸。非但爾也人亦然。能使余心興感吁。因思聖代取人方。各隨其用初無拘。而今以後我知爾。水石精神山澤癯。淸風已挹晉處士。俗姿羞稱秦大夫。歲寒方知後凋心。倘非孤竹誰其徒。身則否矣道則泰。秀氣自與盆景殊。貞心能激萬古淸。異貌宜其傳畫厨。看來不覺起余感。道人從何求此乎。從知恠魁契自合。我自如君君亦吾。其中自有莫狀者。衆人無以其形愚。辭榮豈是叱羊屳。厄窮元非箕子奴。雖因避地不求知。待價寧辭夫子沽。泠泠倘振萬里凮。掃盡塵穢開迷途。流簧若作太常樂。皷動風化成唐虞。嗟嗟所遭爾我同。默默相對神相孚。寄語千秋世上人。此道寧可一時無。</text>
<title>惟有春光畫太平</title>,<text>尙聞上古至聖世。煕煕皥皥無能名。言之不盡意莫窮。設有巧畫難其情。生生惟是潑潑地。至治庶可形無聲。氤氳化醇六合間。實體誰能明至誠。三陽四陽與五陽。一元流處群彙生。西疇漸漸麥吐芽。南陌萋萋芳草萌。李楊柳滿城色。處處靑紅圖畫明。籠籠瑞雲習習風。萬物欣欣雨露榮。千山萬水一和氣。藹藹凮光將欲亨。融融洽洽儘氣像。範圍渢渢含曲成。誰知造化大䂓模。宛是雍雍天下平。爭歡宸極帝御座。元氣淋漓調大羹。莫是太昊伏羲氏。木德以王神化行。天人脗合有如此。至理無形深且精。尋之益難辨莫辨。瞻彼下世誰權衡。中宵深坐默無語。萬像森森縱復橫。</text>
<title>浴沂 自註。走次人韻。</title>,<text>大形渾渾象難擬。大音煕煕聲正稀。鳶飛魚躍活潑地。至理淵微誰識幾。同仁四海彼何人。春日冠童來浴沂。油然子諒滿腔心。日暖庭前微草菲。時當靑帝好施德。喜見玄冥收酷威。新衣初就此可舒。興滿晴天春一圻。彼沂之水嘉可浴。一元生意洋洋肥。惠以相携老幼者。洒然輕風同拂衣。冲融上下浩浩意。直與天地同玄機。誰知無限好氣像。鳳凰高高千仞飛。嘐嘐其志古之人。獨能超然先識微。悠然不耐浴後興。玉聲琅琅閒咏歸。從容問答滿座春。師弟諄諄欣附依。無心有心理欲間。評議分明是與非。先賢雖許見大意。三月其能心不違。千秋猶有喟然感。點也之風吾亦希。鏗然膝上一團春。至今留得氤氳輝。尋聲仍想卷中人。夢回千載還依俙。</text>
<title>影 自註。走筆次人韻。</title>,<text>天地無聲怳有象。半夜東峯吐蟾蜍。若有人兮忽在傍。似有情兮隨躕躇。誰知一本是一軆。與生俱生因共廬。交情元在不相離。去就行藏無不如。同心已到兩相忘。我乃君耶君是余。無形無聲自得妙。一般淸意俱徐徐。明明自知君之本。暗暗誰解吾之餘。分中有合合而分。任彼人間虛實譽。同莫同也未是異。親莫親也元無踈。一生惟願顯明處。一生不願幽陰居。惡幽喜明自有故。處明由我非由渠。須臾之頃何可離。竟夜相携步庭除。欹枕莫作漆園夢。却恐蝴蝶還蘧蘧。遯晦眞同月合朔。追逐奈未茅連茹。終然依附混沌處。一塲依依春夢虛。</text>
<title>書焚道不焚</title>,<text>大哉健順五常道。古今天地大頭腦。元來治亂自消長。聖人有憂勤探討。書之用舍道微顯。書有焚而豈焚道。原其厥初禀受時。化化生生皆眞造。有是形也有是心。仁義爲根眞可寶。一揆上下千百載。前聖後聖同其好。憂深慮切載以書。至意分明猶可考。何彼秦家大愚者。諱惡敢自無蒼昊。猶嫌公道有是非。欲愚民志思顚倒。焰焰虐炎一朝熾。六經文字無餘掃。誰知秉彜五達道。不墜其焚能自保。無聲無臭自至尊。火龍何敢售其燥。何幸一部易書存。至象宛然猶太皥。焚書未足又坑儒。一夕咸陽三百擣。興謠築怨萬餘里。慢視民生如芥草。求屳處處漫求福。獲罪於天何所禱。神明奔走擬陰誅。已聞華璧來傳滈。㐫殃終及鮑魚醢。莫道天老天不老。扶蘓寃死胡亥殃。軹道慘被降衣皓。當年長久萬年計。二世而亡何太早。終敎餘毒至今流。致使天心長憂懊。</text>
<title>栢笛枕</title>,<text>天地之理無不有。一物亦自具陰陽。元來會通別有變。變處誰識非尋常。無端何處月夜音。怳是丹霄鳴鳳凰。尋聲彷彿大林中。古栢千丈凌蒼蒼。始知無孔自然笛。別一造化於焉藏。神機不借武侯術。混元自有天然方。倘非蕭仙弄簫韶。定是女媧調笙簧。何人解趁十五期。一聲淸宵乘月光。坤元宛含復豫象。酷愛通理藏中黃。誰敎好事妄生意。却把天眞思斲傷。堪嗟蘊融渾然形。一手分闢隨殳戕。雖然快罷妄人意。奈此生理都消亡。無緣乘得月中興。竟夜愚聾坐荒凉。從玆缺却八音一。九成無復諧宮商。未使風雅萬方和。坐見鄭衛千秋長。雖從有聲入無聲。尙有餘音猶未央。誰能回得已絶氣。復使生意微而彰。元來天運有消長。樂道與之俱弛張。漢唐以後正聲亂。韻士大抵皆括囊。假使齊諧寓深意。不經之說誠荒唐。</text>
<title>海爲水之王 自註。次人韻。</title>,<text>有物有物德至大。會同千流統作皇。淵淵混混自不息。蕩蕩浩浩元無疆。玄機能運六月鵬。潤化常被千里桑。誰知眞一渾然處。巨流細流同包荒。謙虗之量合天地。美號宜其百谷王。升沉長浴日月光。活潑常自波瀾揚。誰識王道本無爲。玄黃但自垂衣裳。求屳曾拒呂政柂。導水只容神禹檣。王之正德可正配。配以离后誰其嬙。王之仁澤本資智。惠雨千古恩風長。從知涵養藏密處。感而升騰生意張。江神河伯盡輻輳。始信顓帝朝明堂。元來敦化是川流。至理玄幽儘杳茫。珠貝珊瑚是畜儲。黿鼉蛟龍盡兒郞。王之有福稱王德。永世常見蒸蒸祥。祥光德輝互相涵。溢彼中國同洋洋。王之經濟自造命。乖氣何足爲其殃。王之靜性自淵微。潤乎奈之生燥忙。澄瀾活活渾道波。淨流淡淡非慾浪。盛大不受焰天火。未盡一元何滅亡。</text>
<title>在陳責子路慍見</title>,<text>大道從古不容世。周流天下嗟吾人。消長治亂自有數。道之云亨奈否身。素知君子固有窮。慍見何爲怨蒼旻。天之厄矣聖世遠。運是群陰剝陽辰。挽回堯舜是我責。水火之中哀彼民。窮民訴天坐視死。嗟爾春秋君與臣。同室之闘髮自被。轍環無處無車塵。接淅於齊又去衛。適楚之周又適陳。楚狂何勞妄歌鳳。耦耕底事譏知津。習禮才脫伐拔患。貌類反被匡人嗔。衛君胡爲問我陣。明日於陳卽窘屯。志士不忘在溝壑。君子憂道何憂貧。吾道非耶爾則信。一聽於天隨屈伸。如何反失好勇志。㤪尤天人斯害仁。當時膝上北鄙聲。却到今日消陽春。吾知爾性固麄率。不敬之由良有因。求仁未仁妄自信。詎望天理純乎純。方知窮理貴自得。又從存心養其眞。樂則生矣烏可已。此心於性常於循。孜孜而戒亹亹念。苟日新之又日新。誠仁篤處道自至。過焉而化存而神。君胡間斷有先後。理慾紛然長復頻。從知仁宅可常居。此爲主時彼自賓。无私已能絶利害。體天何日忘經綸。君能捨舊卽從新。吾道何憂有碯磷。終然忘却聖師戒。絶纓之事何酸辛。噫吁𡃰道終不幸絶筆時。魯郊寒日傷獲獜。</text>
<title>只得成就一邦衡</title>,<text>美玉逢石體益瑩。寶珠得暗光愈明。東窓日夜百般計。只得成我胡邦衡。利害之心小害大。歷數可燭宵人情。富貴彌天吾自有。權勢掀天吾自傾。舞弄朝三暮四術。欲以明智同猿生。人之視己若肺肝。豈盡愚聾斯世英。遂令忠義不平氣。瀝血反激丹丹誠。多年費得許多巧。惟是伊人天下名。綱常一脉賴不墜。萬古春秋斧鉞行。胡人聞此膽欲落。宋氏山河將再淸。平生附北害宋心。轉禍反却南來兵。奸人愼莫學張儀。官間西來稱魏卿。奸人愼莫負宗國。父母之邦胡忍輕。奸人愼莫負所賦。萬物之靈天道亨。眞心事主是一德。巧言亂邦非忠精。光明正大大公平。君子之心惟利貞。如何奸細反不然。狐媚君前善逢迎。交爭患得患失心。寵辱之來皆若驚。暗而行慝明欲揜。十目所視其能平。昭昭天怒已陰擬。鬼誅定看奇禍萌。嗚呼。爾罪倘無量山海。此老之名胡獨成。爾不見此老正氣塞天地。直與日月光相爭。</text>
<title>牽動長江萬里愁</title>,<text>西湖佳麗作活畫。中有荷花涵素秋。無端傳入好事手。多少繁華圖上收。春風吹落北胡眼。惹起江南無盡愁。江南別是帝王都。濱海魚塩三十州。車書從古自有統。義士千萬知尊周。隄防只合善庇護。不可輕泄王家猷。何來技士不解事。枉把丹靑移別區。吳山縹緲第一峯。雲外靑靑湖上洲。風光亦能作𥚁媒。反促麄胡非分求。中原天地禮樂鄕。羯雲萬里陰陰浮。當時不過偶然作。未愁長鯨呑巨舟。旋敎穢氣自北南。羃盡吳州迷楚丘。完顔一夕恣投鞭。坐使長江空斷流。圍棊已乏謝太傅。退敵今無諸葛侯。愁山長帶不盡辱。恨水空咽無窮羞。往事悠悠謾有恨。留與錢江江上謳。江上年年後庭花。江上日日採蓮遊。至今採蓮愁殺人。千秋王氣空逗留。</text>
<title>某在何必讀此書</title>,<text>玄天幽默本不言。雨風霜露無非誨。由來仲尼重象敎。徒爾文辭游夏輩。私箚何必善形容。實則分明吾自在。原其本源出於天。仁義根之方寸內。明於上世盛虞唐。禹文繼之陶三代。無端至道久沉淪。志士千秋空惋慨。濂溪幸有不墜緖。得於眞軆聞其槩。治心要法實身敎。表裡相符期不悖。專心持養是切至。歸重言辭徒細碎。膚皮祗可辨毛髮。骨子何得窺心肺。胡辭那是口無擇。僞學原多躬不逮。昬明路頭識夢覺。生死關前道向背。因文覺道豈無由。專尙空言終亦晦。空言况多自家意。疑在心頭寧莫悔。仁家能事在融會。默通可得精神態。心言相顧不逕庭。本末通貫無絓礙。衰慵此世幸無恙。不必糟粕勤銘佩。存心要妙我何隱。聞性諸公可翫愛。當仁一語付公輩。善爲擔當莫悔退。開來繼往實在此。太平天地通千載。</text>
<title>勉戒</title>,<text>皇圓方之理氣兮。賦性情於萬物。曰一動而一靜兮。寔萬變之所出。斯善惡之不一兮。驗淸濁之純駁。惟操存與省察兮。心自然而中和。四端以之不微兮。七情以之不差。四與七其得當兮。驗本然之通明。曰博文而約禮兮。寔聖賢之所程。撮綱領而槩論兮。要莫要於敬誠。惟誠敬之爲德兮。是終始於四德。誠分論而忠恕兮。敬合言曰主一。信人人而尊主兮。詎亂常之可憂。嗟我言之不昧兮。願潛心而靜求。紛人家之上下兮。多失道而敗度。盍求通於聖經兮。思各盡於自處。勿自欺而欺人兮。遠佞人之讒諂。肆下情之無惑兮。知所避而不犯。愛服而敬恭兮。怨何從而或生。下之道當如之何兮。在愛敬之誠。以父母心爲我心兮。不敢私其形。凡百之奉養兮。必於至情。視於無形兮聽於無聲。當其財用兮不敢有已。當其飮食兮問其所與。追遠而報本兮敬爾祀事。宜爾室家兮樂爾妻子。和爾兄弟兮睦爾親戚。厚爾隣里兮禮爾賓客。上心喜樂兮順之而已。莫此之大幸兮。善莫善於此。若或人倫之不幸兮。有家變之難狀。彼讒人之罔極兮。事反覆而欺罔。浸潤與膚受兮。離間于上下。苟或如讒人之所言兮。雖萬死其固宜。苟或讒言之失實兮。是生疑於不疑。不自返而善處兮。致下情之罔措。罪無地而可容兮。情無處而可訴。哀菀悒而怨慕兮。日呼泣于旻天。何上心之不悟兮。非所怒而怒焉。任妾婢而間之兮。以至踈而易親。恣凌辱而不察兮。壞孽嫡與上下之名分。倘若此而不已兮。豈變亂之可止。欲悛改而盡道兮。盍自訟而反己。毋留慍懥而害仁兮。須密察夫理。恢度量而寬弘兮。主公明而不貳。體下情而懇曲兮。若保襁褓之赤子。惟玆浸潤膚受其不行兮。固前哲之與衆異。夫何不愛之以至誠兮。不誨待以禮義。猶信讒而然疑兮。致情意之阻隔。畏人言之議己兮。內含而外飾。使邪言縱橫於暗中兮。密附耳而聽納。何操心之昏弱兮。不能猛省而嚴却。是若婦人之所爲兮。豈禍亂之能息。斯若欲免斯過兮。必其有古之則。其則如何兮。思之則不難乎得其宜。審而又審兮。眷斯戒而毋忽。曰妾婢若摘下之過兮。詳愼而審察。苟或妾婢言之可疑兮。合推窮而得情。苟或適孽子女言之可疑兮。愛而能察其奸萌。雖魑魅與魍魎兮。無所逃於鑑明。設若間言之不誣兮。亦可布告於十目。可責而責勵兮。可誅而誅罰。使不得乘暗昧而謠諑兮。孰不服其明直。彼忮猜巧佞之人兮。慮有害而無益。必諒夫公義之所在兮。有所畏而自檢攝。紛藏形而革面兮。渠敢祟乎奸孽。親踈位而分定兮。有何疵之可抉。我盡此而下猶不悔兮。是謂不肖之下。彼不肖之下兮。何所施而不可。然至情不可以遽絶兮。審姑敎而示責。是在上之至道兮。雖聖哲其不易。何後世之不然兮。心狐疑而莫察。違明睿而包容兮。使至親而罔極。夫何好此媚附兮。創無根之讒路。苟自正而好禮兮。反厭苦而齎怒。冥汝行其觸機兮。宜汝足之多蹶。夫何不恕而寬容兮。昧不察于情曲。雖下情之慕切兮。頓邁邁而不顧。他人或慰勞乎下兮。申申其懇苦。嗟汝身之孑孑兮。憫汝誠之無訴。懷戚戚而力竭兮。夫孰察而憐悶。旣汝心之自歉兮。詎何望其恤戀。何棄肢軆而不收兮。曾行路之不如。苟手足之不仁兮。豈形軆之獨伸。必汝自反曰余有罪兮。何敢議夫子而心非。隳職事而未盡兮。宜咎責之叢而。盖由奸妾婢之讒兮。反信而不疑惑然。彼在下之人兮。亦無如之何。若妾婢自量其罪積兮。慮後日之罹殃。廣植黨而求濟兮。乘暗昧而搆成。計敗露而落虛兮。襲舊過而猶未改。紛飛謗於遠近兮。欲賣人而自賣。只自取其苦梗兮。有何心之可快。懷怨恨而憤憤兮。空費思而無益。曰上之外我兮。誤信讒而疑怒。不盡心於保養兮。不順旨而肆忤。遏上欲而不從兮。肆逞我之所欲。愛財貨而吝惜兮。又重之以暴虐。散餘財而行賂兮。誘上婢而濟慾。遣妖婢而覘察兮。乘昏夜而帖壁。伺動靜而乘釁兮。恣吹毛而造訕。樂陷上於不測兮。使不容於人間。罔導之以正道兮。巧諂媚而引慝。蠱上心而癖痼兮。又重之以勒脅。成人之過猶不可兮。又况陷上而成惡。凌人尙猶不可兮。又况䝱上而違逆。是謂無上與迎上兮。罪固當於大辟。嗟人家之在下兮。宜效法於曾參。勿望上之厚我兮。無不是底非心。上之不愛兮。於我何加。雖逢怒而克敬兮。敬聲容而溫和。若此則上下交盡兮。寧失道而顚錯。順上下而無愧兮。免鬼神之深責。德可質於前聖兮。法可傳於後賢。嗟人家之上下兮。各免過而勉旃。亂曰道理無窮兮。上下各盡兮。誠心自訟兮。改過不吝兮。質諸鬼神兮。達諸天地兮。生無愧兮死無恥兮。</text>
